,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tilichiki,60.4667,166.1,58.59,63,71,15.52,RU,1627425893
1,Hermanus,-34.4187,19.2345,55.8,75,88,15.7,ZA,1627425434
2,Isangel,-19.55,169.2667,75.31,69,40,3.44,VU,1627425895
3,Hobart,-42.8794,147.3294,55.26,82,40,5.01,AU,1627425435
4,Tegul'det,57.3064,88.1667,50.85,91,29,0.13,RU,1627425898
5,Clyde River,70.4692,-68.5914,52.03,71,75,13.8,CA,1627425506
6,Antalaha,-14.9003,50.2788,65.37,88,5,7.49,MG,1627425900
7,Punta Arenas,-53.15,-70.9167,42.91,87,75,10.36,CL,1627425460
8,Sitka,57.0531,-135.33,58.89,82,90,0.0,US,1627425576
9,Avigliana,45.0771,7.3986,69.8,86,26,3.98,IT,1627425914
10,Ponta Delgada,37.7333,-25.6667,68.72,83,20,24.16,PT,1627425551
11,Torbay,47.6666,-52.7314,66.97,98,90,17.27,CA,1627425671
12,Calama,-22.4667,-68.9333,59.49,8,0,14.97,CL,1627425917
13,Bathsheba,13.2167,-59.5167,83.01,69,20,17.27,BB,1627425738
14,Tshela,-4.9833,12.9333,67.14,98,52,1.9,CD,1627425920
15,Saskylakh,71.9167,114.0833,58.33,60,18,18.14,RU,1627425526
16,Eshowe,-28.8865,31.4699,51.31,35,4,6.33,ZA,1627425922
17,Edgewater,28.9889,-80.9023,86.09,94,75,6.91,US,1627425924
18,Kapaa,22.0752,-159.319,84.52,75,90,5.01,US,1627425465
19,Hilo,19.7297,-155.09,80.33,83,90,9.22,US,1627425461
20,Grand-Santi,4.25,-54.3833,77.92,77,79,2.13,GF,1627425927
21,Busselton,-33.65,115.3333,46.04,75,100,12.77,AU,1627425928
22,Kaiyuan,23.6977,103.3037,65.73,94,51,1.68,CN,1627425930
23,Ushuaia,-54.8,-68.3,37.06,93,90,4.61,AR,1627425432
24,Oruzgan,32.8333,66.0,78.64,22,51,6.64,AF,1627425932
25,At-Bashi,41.1702,75.8106,62.58,68,34,2.1,KG,1627425934
26,Chui,-33.6971,-53.4616,42.93,68,12,15.95,UY,1627425316
27,La Libertad,-2.2333,-80.9,74.86,78,40,11.5,EC,1627425936
28,Tuktoyaktuk,69.4541,-133.0374,53.6,71,75,8.05,CA,1627425596
